"Source:","C:\Users\GarethBlades\OneDrive - Eseye\Documents\GitHub\pi-transceiver\electronics\PSU Board\pi-tranceiver-psu\pi-tranceiver-psu.kicad_sch"
"Date:","21/01/2022 14:59:37"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","60"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","C1","220nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C2","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","",""
"","","C3","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","",""
"","","C4","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C5","330uF","SamacSys_Parts:865080545012","CAPAE660X770N","http://katalog.we-online.de/pbs/datasheet/865080545012.pdf","Wurth Elektronik 100uF 35 V dc Aluminium Electrolytic Capacitor, WCAP-ASLI Series 2000h 6.3 (Dia.) x 7.55mm","7.7","Wurth Elektronik","865080545012","710-865080545012","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/865080545012?qs=0KOYDY2FL297tvB6LOdg5A%3D%3D"
"","","C6","10nF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","",""
"","","C7","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","",""
"","","C8","10nF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","",""
"","","C9","330uF","SamacSys_Parts:865080545012","CAPAE660X770N","http://katalog.we-online.de/pbs/datasheet/865080545012.pdf","Wurth Elektronik 100uF 35 V dc Aluminium Electrolytic Capacitor, WCAP-ASLI Series 2000h 6.3 (Dia.) x 7.55mm","7.7","Wurth Elektronik","865080545012","710-865080545012","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/865080545012?qs=0KOYDY2FL297tvB6LOdg5A%3D%3D"
"","","C10","100uF","SamacSys_Parts:865080545012","CAPAE660X770N","http://katalog.we-online.de/pbs/datasheet/865080545012.pdf","Wurth Elektronik 100uF 35 V dc Aluminium Electrolytic Capacitor, WCAP-ASLI Series 2000h 6.3 (Dia.) x 7.55mm","7.7","Wurth Elektronik","865080545012","710-865080545012","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/865080545012?qs=0KOYDY2FL297tvB6LOdg5A%3D%3D"
"","","C11","100uF","SamacSys_Parts:865080545012","CAPAE660X770N","http://katalog.we-online.de/pbs/datasheet/865080545012.pdf","Wurth Elektronik 100uF 35 V dc Aluminium Electrolytic Capacitor, WCAP-ASLI Series 2000h 6.3 (Dia.) x 7.55mm","7.7","Wurth Elektronik","865080545012","710-865080545012","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/865080545012?qs=0KOYDY2FL297tvB6LOdg5A%3D%3D"
"","","D1","15V","Device:D_Zener","Diode_SMD:D_0805_2012Metric","~","","","","","",""
"","","D2","9.1V","Device:D_Zener","Diode_SMD:D_0805_2012Metric","~","","","","","",""
"","","D3","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","",""
"","","D4","D_Schottky","Device:D_Schottky","","~","","","","","",""
"","","D5","4.3V","Device:D_Zener","Diode_SMD:D_0805_2012Metric","~","","","","","",""
"","","D6","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","",""
"","","D7","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","",""
"","","D8","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","",""
"","","D9","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","",""
"","","D10","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","",""
"","","IC1","LTC4368IMS-2#PBF","SamacSys_Parts:LTC4368IMS-2#PBF","SOP50P490X110-10N","https://www.arrow.com/en/products/ltc4368ims-2pbf/analog-devices","Surge Suppressors 100V OV, UV, OC and Reverse Supply Protection Controller with -3mV Reverse Threshold","1.1","Analog Devices","LTC4368IMS-2#PBF","584-LTC4368IMS2PBF","https://www.mouser.co.uk/ProductDetail/Analog-Devices/LTC4368IMS-2PBF?qs=5aG0NVq1C4yQGBsRaTKLEg%3D%3D"
"","","IC2","LM2679S-ADJ_NOPB","PSU_Board:LM2679S-ADJ_NOPB","PSU_Board:TO127P1435X464-8N","http://www.ti.com/lit/ds/symlink/lm2679.pdf","SIMPLE SWITCHER 8V to 40V, 5A Step-Down DC/DC Switching Regulator with Adjustable Current Limit","4.64","Texas Instruments","LM2679S-ADJ/NOPB","926-LM2679S-ADJ/NOPB","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM2679S-ADJ-NOPB?qs=X1J7HmVL2ZGdZbHD%252BPn1rg%3D%3D"
"","","J1","Wago PCB 2 Pole","Connector:Screw_Terminal_01x02","","~","","","","","",""
"","","J2","Wago PCB 2 Pole","Connector:Screw_Terminal_01x02","","~","","","","","",""
"","","J3","Wago PCB 2 Pole","Connector:Screw_Terminal_01x02","","~","","","","","",""
"","","J4","Wago PCB 2 Pole","Connector:Screw_Terminal_01x02","","~","","","","","",""
"","","J5","Wago PCB 2 Pole","Connector:Screw_Terminal_01x02","","~","","","","","",""
"","","J6","Wago PCB 2 Pole","Connector:Screw_Terminal_01x02","","~","","","","","",""
"","","J7","JST 01x02","Connector_Generic:Conn_01x02","","~","","","","","",""
"","","J8","JST 01x02","Connector_Generic:Conn_01x02","","~","","","","","",""
"","","J9","JST 01x02","Connector_Generic:Conn_01x02","","~","","","","","",""
"","","J10","JST 01x02","Connector_Generic:Conn_01x02","","~","","","","","",""
"","","J11","JST 01x04","Connector_Generic:Conn_01x04","","~","","","","","",""
"","","J12","JST 01x02","Connector_Generic:Conn_01x02","","~","","","","","",""
"","","JP1","5.1V / 8.4V","Jumper:Jumper_3_Bridged12","","~","","","","","",""
"","","JP2","Jumper_2_Open","Jumper:Jumper_2_Open","","~","","","","","",""
"","","L1","15uH","Device:L_Ferrite","","https://www.mouser.co.uk/ProductDetail/Bourns/SRP1265C-150M?qs=OlC7AqGiEDnNYfbirifssw%3D%3D","","","","","",""
"","","Q1","DMT6002LPS-13","Device:Q_NMOS_SGD","SamacSys_Parts:PowerDI5060-8","~","","","","","",""
"","","Q2","DMT6002LPS-13","Device:Q_NMOS_SGD","SamacSys_Parts:PowerDI5060-8","~","","","","","",""
"","","Q3","Q_PMOS_GDS","Device:Q_PMOS_GDS","","~","","","","","",""
"","","Q4","BC547","Transistor_BJT:BC547","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","","","","","",""
"","","Q5","BC547","Transistor_BJT:BC547","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","","","","","",""
"","","R1","100K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R2","24K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R3","750K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R4","10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R5","1M3","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R6","22K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R7","100K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R8","100K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R9","100K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R10","100K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R11","5K9","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R12","3K24","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R13","4K99","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","R14","1K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"","","SW1","SW_Push","Switch:SW_Push","","~","","","","","",""
"","","U1","AMS1117-5.0","Regulator_Linear:AMS1117-5.0","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","","","","","",""
"","","U2","AMS1117-5.0","Regulator_Linear:AMS1117-5.0","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","1","C1","220nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"2","3","C2, C3, C7","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","",""
"3","1","C4","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"4","2","C5, C9","330uF","SamacSys_Parts:865080545012","CAPAE660X770N","http://katalog.we-online.de/pbs/datasheet/865080545012.pdf","Wurth Elektronik 100uF 35 V dc Aluminium Electrolytic Capacitor, WCAP-ASLI Series 2000h 6.3 (Dia.) x 7.55mm","7.7","Wurth Elektronik","865080545012","710-865080545012","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/865080545012?qs=0KOYDY2FL297tvB6LOdg5A%3D%3D"
"5","2","C6, C8","10nF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","",""
"6","2","C10, C11","100uF","SamacSys_Parts:865080545012","CAPAE660X770N","http://katalog.we-online.de/pbs/datasheet/865080545012.pdf","Wurth Elektronik 100uF 35 V dc Aluminium Electrolytic Capacitor, WCAP-ASLI Series 2000h 6.3 (Dia.) x 7.55mm","7.7","Wurth Elektronik","865080545012","710-865080545012","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/865080545012?qs=0KOYDY2FL297tvB6LOdg5A%3D%3D"
"7","1","D1","15V","Device:D_Zener","Diode_SMD:D_0805_2012Metric","~","","","","","",""
"8","1","D2","9.1V","Device:D_Zener","Diode_SMD:D_0805_2012Metric","~","","","","","",""
"9","6","D3, D6, D7, D8, D9, D10","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","",""
"10","1","D4","D_Schottky","Device:D_Schottky","","~","","","","","",""
"11","1","D5","4.3V","Device:D_Zener","Diode_SMD:D_0805_2012Metric","~","","","","","",""
"12","1","IC1","LTC4368IMS-2#PBF","SamacSys_Parts:LTC4368IMS-2#PBF","SOP50P490X110-10N","https://www.arrow.com/en/products/ltc4368ims-2pbf/analog-devices","Surge Suppressors 100V OV, UV, OC and Reverse Supply Protection Controller with -3mV Reverse Threshold","1.1","Analog Devices","LTC4368IMS-2#PBF","584-LTC4368IMS2PBF","https://www.mouser.co.uk/ProductDetail/Analog-Devices/LTC4368IMS-2PBF?qs=5aG0NVq1C4yQGBsRaTKLEg%3D%3D"
"13","1","IC2","LM2679S-ADJ_NOPB","PSU_Board:LM2679S-ADJ_NOPB","PSU_Board:TO127P1435X464-8N","http://www.ti.com/lit/ds/symlink/lm2679.pdf","SIMPLE SWITCHER 8V to 40V, 5A Step-Down DC/DC Switching Regulator with Adjustable Current Limit","4.64","Texas Instruments","LM2679S-ADJ/NOPB","926-LM2679S-ADJ/NOPB","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM2679S-ADJ-NOPB?qs=X1J7HmVL2ZGdZbHD%252BPn1rg%3D%3D"
"14","6","J1, J2, J3, J4, J5, J6","Wago PCB 2 Pole","Connector:Screw_Terminal_01x02","","~","","","","","",""
"15","5","J7, J8, J9, J10, J12","JST 01x02","Connector_Generic:Conn_01x02","","~","","","","","",""
"16","1","J11","JST 01x04","Connector_Generic:Conn_01x04","","~","","","","","",""
"17","1","JP1","5.1V / 8.4V","Jumper:Jumper_3_Bridged12","","~","","","","","",""
"18","1","JP2","Jumper_2_Open","Jumper:Jumper_2_Open","","~","","","","","",""
"19","1","L1","15uH","Device:L_Ferrite","","https://www.mouser.co.uk/ProductDetail/Bourns/SRP1265C-150M?qs=OlC7AqGiEDnNYfbirifssw%3D%3D","","","","","",""
"20","2","Q1, Q2","DMT6002LPS-13","Device:Q_NMOS_SGD","SamacSys_Parts:PowerDI5060-8","~","","","","","",""
"21","1","Q3","Q_PMOS_GDS","Device:Q_PMOS_GDS","","~","","","","","",""
"22","2","Q4, Q5","BC547","Transistor_BJT:BC547","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","","","","","",""
"23","5","R1, R7, R8, R9, R10","100K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"24","1","R2","24K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"25","1","R3","750K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"26","1","R4","10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"27","1","R5","1M3","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"28","1","R6","22K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"29","1","R11","5K9","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"30","1","R12","3K24","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"31","1","R13","4K99","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"32","1","R14","1K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","",""
"33","1","SW1","SW_Push","Switch:SW_Push","","~","","","","","",""
"34","2","U1, U2","AMS1117-5.0","Regulator_Linear:AMS1117-5.0","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","","","","","",""
